State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,06/10/2025,2000,3000,2500
"Andhra Pradesh",Chittor,Palamaner,"Green Chilli","Green Chilly",FAQ,06/10/2025,4000,6000,5000
"Andhra Pradesh",Chittor,Palamaner,Potato,"(Red Nanital)",FAQ,06/10/2025,1000,2000,1500
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,06/10/2025,1200,1600,1400
"Andhra Pradesh",Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,06/10/2025,4199,5399,5399
"Andhra Pradesh",Guntur,Tenali,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,06/10/2025,6400,6800,6600
"Andhra Pradesh",Kurnool,Kurnool,Onion,Local,FAQ,06/10/2025,306,1561,785
"Andhra Pradesh",Kurnool,Nandyal,Maize,"Deshi Red",Non-FAQ,06/10/2025,2200,2200,2200
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 2",FAQ,06/10/2025,3850,4390,4120
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 3",FAQ,06/10/2025,3780,3830,3805
Chattisgarh,Balodabazar,Kasdol,Paddy(Dhan)(Common),D.B.,Non-FAQ,06/10/2025,2000,2000,2000
Chattisgarh,Bilaspur,Tiphra,Onion,Local,Non-FAQ,06/10/2025,1600,1800,1700
Chattisgarh,Jashpur,Pathalgaon,Wheat,Hybrid,Non-FAQ,06/10/2025,2100,2100,2100
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),"I.R. 64",Non-FAQ,06/10/2025,1980,1980,1980
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),"I.R. 64",Non-FAQ,06/10/2025,1950,1950,1950
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana)",Potato,Chips,FAQ,06/10/2025,1200,1800,1650
Gujarat,Ahmedabad,Viramgam,"Castor Seed","Castor seed",FAQ,06/10/2025,6260,6340,6300
Gujarat,Ahmedabad,Viramgam,"Sesamum(Sesame,Gingelly,Til)",Other,Non-FAQ,06/10/2025,7500,8850,8175
Gujarat,Amreli,Bagasara,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,06/10/2025,7725,9075,8400
Gujarat,Amreli,Bagasara,Wheat,"Lokwan Gujrat",Non-FAQ,06/10/2025,2090,2500,2295
Gujarat,Amreli,Damnagar,"Green Chilli","Green Chilly",FAQ,06/10/2025,1650,3050,2500
Gujarat,Amreli,Rajula,"Bajra(Pearl Millet/Cumbu)",Local,FAQ,06/10/2025,1750,2125,1938
Gujarat,Amreli,Rajula,Mustard,Mustard,FAQ,06/10/2025,6505,6505,6505
Gujarat,Amreli,Rajula,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,06/10/2025,8250,9550,8900
Gujarat,Amreli,Savarkundla,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,06/10/2025,1750,2700,2125
